id,address,latitude,longitude
1,""江苏省南京市"",118.797,32.0593
2,""陕西省西安市莲湖区止园饭店"",108.94,34.2713
3,""陕西省西安市莲湖区丰登南路|18号"",108.895,34.2529
4,""浙江省宁波市海曙区环城西路北段|40号"",121.55,29.8737
5,""陕西省西安市未央区草滩路"",108.991,34.38
6,""陕西省西安市长安区沣惠"",108.771,34.1123
7,""陕西省西安市莲湖区解家村"",108.944,34.2654
8,""陕西省西安市莲湖区桃园路"",108.901,34.2649
9,""陕西省西安市莲湖区龙首北路西段|27"",108.944,34.2654
10,""陕西省西安市莲湖区丰禾路|1号"",108.907,34.2817
11,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
12,""陕西省西安市莲湖区大兴东路"",108.91,34.2862
13,""陕西省西安市莲湖区龙赵村"",108.936,34.2908
14,""陕西省西安市莲湖区团结东路|5号"",108.905,34.2632
15,""陕西省西安市莲湖区明珠巷"",108.926,34.2836
16,""陕西省西安市莲湖区纸坊村|121号"",108.933,34.2783
17,""陕西省西安市莲湖区丰禾路|6号"",108.907,34.2817
18,""陕西省西安市莲湖区明珠巷"",108.926,34.2836
19,""陕西省西安市莲湖区青年路"",108.94,34.2712
20,""陕西省西安市莲湖区西北一路|40号"",108.928,34.2714
21,""陕西省西安市未央区大兴路"",108.947,34.2931
22,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
23,""陕西省西安市莲湖区西桃园"",108.894,34.2434
24,""陕西省西安市莲湖区莲湖路|63号|附3号"",108.933,34.2698
25,""陕西省西安市莲湖区红庙坡"",108.921,34.2853
26,""陕西省西安市鄠邑区团结西路中段"",108.623,34.0646
27,""陕西省西安市莲湖区电容器厂"",108.944,34.2654
28,""陕西省西安市莲湖区劳动南路|8号"",108.91,34.2507
29,""陕西省西安市莲湖区枣园"",108.866,34.2772
30,""陕西省西安市莲湖区大庆路"",108.889,34.269
31,""陕西省西安市莲湖区莲湖区西站"",108.944,34.2654
32,""陕西省西安市莲湖区丰庆路|92号"",108.91,34.2508
33,""陕西省西安市莲湖区习武园|34"",108.929,34.2737
34,""陕西省西安市莲湖区大庆西路"",108.944,34.2654
35,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
36,""陕西省西安市莲湖区丰登南路|8号"",108.895,34.2529
37,""陕西省西安市莲湖区沣镐路"",108.907,34.2555
38,""陕西省西安市莲湖区介家巷"",108.919,34.2574
39,""陕西省西安市莲湖区自强西路|75号"",108.937,34.2802
40,""陕西省西安市莲湖区自强西路"",108.937,34.2802
41,""陕西省西安市未央区大兴路"",108.947,34.2931
42,""陕西省西安市莲湖区丰庆路|135号"",108.91,34.2508
43,""浙江省舟山市定海区环城西路|148号"",122.107,30.0198
44,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
45,""陕西省西安市莲湖区环城西路|146号"",108.922,34.2662
46,""陕西省西安市高陵区西大街|368号"",109.086,34.5371
47,""陕西省西安市莲湖区甜水井"",108.933,34.2541
48,""陕西省西安市莲湖区"",108.944,34.2654
49,""陕西省西安市未央区红光路"",108.857,34.2593
50,""陕西省西安市莲湖区沣惠北路|附7号"",108.891,34.2733
51,""陕西省西安市莲湖区二府街|3号楼"",108.943,34.2671
52,""陕西省西安市莲湖区北稍门"",108.948,34.2863
53,""陕西省西安市莲湖区振华北路|10号"",108.943,34.2863
54,""陕西省西安市莲湖区西关机场"",108.944,34.2654
55,""陕西省西安市莲湖区纸坊村"",108.933,34.2783
56,""陕西省西安市雁塔区中航大厦"",108.905,34.2353
57,""广东省广州市番禺区北大街"",113.395,23.0108
58,""陕西省西安市莲湖区劳动西路"",108.908,34.2661
59,""陕西省西安市碑林区十字南"",108.941,34.2567
60,""陕西省西安市莲湖区北马道巷"",108.926,34.2653
61,""陕西省西安市莲湖区青年路|156号"",108.94,34.2712
62,""陕西省西安市未央区兴中路|136号"",108.954,34.3279
63,""河南省郑州市金水区青年路|1号"",113.718,34.7421
64,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
65,""陕西省西安市莲湖区西关机场"",108.944,34.2654
66,""陕西省西安市未央区兴中路|5号"",108.954,34.3279
67,""陕西省西安市莲湖区丰镐路"",108.899,34.2594
68,""陕西省西安市莲湖区王家巷|31号"",108.919,34.2607
69,""陕西省西安市莲湖区大土门"",108.888,34.2665
70,""陕西省西安市莲湖区创新路|47号"",108.884,34.251
71,""陕西省西安市莲湖区大庆路|100号"",108.889,34.269
72,""陕西省西安市未央区未央路"",108.947,34.3161
73,""陕西省西安市新城区粮油批发市场"",108.961,34.2666
74,""陕西省西安市未央区大庆路|12号"",108.889,34.269
75,""河南省郑州市"",113.625,34.7463
76,""陕西省西安市莲湖区污水处理厂邓家村家属院"",108.871,34.2875
77,""陕西省西安市莲湖区枣园东路"",108.878,34.2707
78,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
79,""山西省太原市"",112.55,37.8705
80,""陕西省西安市莲湖区沣镐东路|4号"",108.897,34.2596
81,""安徽省合肥市庐阳区环城西路"",117.27,31.8628
82,""陕西省西安市莲湖区工农路|23号"",108.933,34.2821
83,""陕西省西安市莲湖区沣镐路"",108.907,34.2555
84,""北京市丰台区大兴路"",116.379,39.8028
85,""陕西省西安市未央区未央路"",108.947,34.3161
86,""陕西省西安市莲湖区大土门"",108.888,34.2665
87,""陕西省西安市莲湖区大莲花池街|14号"",108.943,34.2683
88,""陕西省西安市莲湖区北夏家"",108.93,34.2584
89,""陕西省西安市未央区劳动北路|58"",108.911,34.2909
90,""陕西省西安市莲湖区"",108.944,34.2654
91,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
92,""陕西省西安市莲湖区振华南路|12号"",108.943,34.2807
93,""陕西省西安市莲湖区大土门|11号"",108.888,34.2665
94,""陕西省西安市莲湖区环城北路|81号"",108.947,34.2775
95,""陕西省西安市未央区大兴路"",108.947,34.2931
96,""陕西省西安市莲湖区沣镐西路"",108.88,34.2596
97,""陕西省西安市莲湖区团结中路|37号"",108.888,34.2641
98,""陕西省西安市莲湖区环城西路南段"",108.922,34.2662
99,""陕西省西安市"",108.94,34.3432
100,""陕西省西安市雁塔区团结南路|4号"",108.882,34.2422
101,""陕西省西安市莲湖区大庆路"",108.889,34.269
102,""陕西省西安市莲湖区环城西路|148号"",108.922,34.2662
103,""陕西省西安市未央区南路"",108.868,34.3261
104,""陕西省西安市临潼区西关正街"",109.206,34.3704
105,""陕西省西安市碑林区西村"",108.941,34.2567
106,""陕西省西安市莲湖区北马道巷"",108.926,34.2653
107,""陕西省西安市莲湖区大庆路|96号"",108.889,34.269
108,""陕西省西安市莲湖区丰登路|29号"",108.895,34.2641
109,""陕西省西安市莲湖区西关正街|32号"",108.918,34.2594
110,""陕西省西安市莲湖区大莲花池街|30号"",108.943,34.2683
111,""陕西省西安市莲湖区劳动路北段"",108.91,34.2628
112,""陕西省西安市临潼区西关正街|233"",109.206,34.3704
113,""陕西省西安市未央区朱宏路|1"",108.921,34.3237
